u,v,weight
UBB,RAF1,1.0
UBB,PAK2,1.0
UBB,FGF16,1.0
UBB,HSPA1B,1.0
UBB,HSPA1A,1.0
UBB,YWHAZ,1.0
UBB,FGF10,1.0
UBB,KLB,1.0
UBB,HSPA5,1.0
UBB,ACTL6A,1.0
UBB,FGF23,1.0
UBB,FGF19,1.0
UBB,PTPN11,1.0
UBB,FGF20,1.0
UBB,APP,1.0
UBB,ERBB2,1.0
UBB,ERBB4,1.0
UBB,VCP,1.0
UBB,AKT1,1.0
UBB,KL,1.0
UBB,FGF3,1.0
UBB,PIK3CB,1.0
UBB,PSME3,1.0
UBB,CDK2,1.0
UBB,TRIM28,1.0
UBB,ANXA6,1.0
UBB,TRIM21,1.0
UBB,STAM2,1.0
UBB,TRIM56,1.0
UBB,TRIM37,1.0
UBB,RELA,1.0
UBB,RAD23B,1.0
UBB,PRPS1,1.0
UBB,AARS1,1.0
UBB,UBE2D1,1.0
UBB,UBE2D3,1.0
UBB,UBE2D2,1.0
UBB,UBE2E3,1.0
UBB,UBE2E1,1.0
UBB,SMURF1,1.0
UBB,PSEN2,1.0
UBB,NCSTN,1.0
UBB,ARRB2,1.0
UBB,ITCH,1.0
UBB,APH1A,1.0
UBB,PSENEN,1.0
UBB,ARRB1,1.0
UBB,NOTCH2,1.0
UBB,CALCOCO2,1.0
UBB,TRAF2,1.0
UBB,TAX1BP1,1.0
UBB,CEP76,1.0
UBB,FGFR1,1.0
UBB,CBL,1.0
UBB,PSMD10,1.0
UBB,USP7,1.0
UBB,UCHL3,1.0
UBB,USP2,1.0
UBB,USP14,1.0
UBB,NFKBIA,1.0
UBB,FAF2,1.0
UBB,CDKN1B,1.0
UBB,USP1,1.0
UBB,UBE2A,1.0
UBB,FANCE,1.0
UBB,FANCF,1.0
UBB,VPS36,1.0
UBB,FANCM,1.0
UBB,ANAPC1,1.0
UBB,FANCB,1.0
UBB,FANCL,1.0
UBB,FZR1,1.0
UBB,PCNA,1.0
UBB,FANCD2,1.0
UBB,MYH9,1.0
UBB,BIRC2,1.0
UBB,EPAS1,1.0
UBB,NEDD8,1.0
